Lisboa,2006:04:11 10:45:00,0,1,Av.Roma,,Atrop.de peões
Lisboa,2006:04:12 01:00:00,0,2,Av.Ponte 25 Abril,,Despiste com capotamento
Lisboa,2006:04:18 10:45:00,0,1,Av.Berna,,Atrop.de peões
Lisboa,2006:04:19 15:55:00,0,1,R.Dr.Oliveira Ramos,,Atrop.de peões
Lisboa,2006:04:19 22:10:00,0,1,Al.Linhas Torres,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:04:21 01:50:00,0,1,Av.Ribeira Naus,,Colisão frontal
Lisboa,2006:04:29 04:00:00,0,1,Av.República,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:05:01 13:00:00,0,1,Av.India/Pça.Afonso Albuquerque,,Colisão com outras situações
Lisboa,2006:05:02 01:50:00,0,1,Av.Inf.Santo,,Despiste com capotamento
Lisboa,2006:05:02 07:00:00,0,1,Campo Grande/Av.Brasil,,Col.c/veic.ou obst.na f.de rod.
Lisboa,2006:05:02 19:10:00,0,1,Al.Linhas Torres,,Atrop.de peões
Lisboa,2006:05:04 01:00:00,0,1,Av.Berlim,,Despiste simples
Lisboa,2006:05:04 11:00:00,0,1,R.Joshma Benobriel,,Atrop.de peões
Lisboa,2006:05:04 13:50:00,0,1,Campo Grande,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:05:05 16:30:00,0,1,R.D.Estefânia,,Atrop.de peões
Lisboa,2006:05:05 22:30:00,0,1,R.Cons.Arantes Pedroso,,Atrop.de peões
Lisboa,2006:05:06 13:00:00,0,1,R.Hortas,,Desp.s/dispositivo de retenção
Lisboa,2006:05:06 16:15:00,0,2,A5,0,Despiste com capotamento
Lisboa,2006:05:07 07:00:00,1,6,Av.Inf D.Henrique,,Colisão frontal
Lisboa,2006:05:10 17:15:00,0,1,R.Carolina Michaelis Vasconcelos,,Colisão choque em cadeia
Lisboa,2006:05:12 10:55:00,1,0,R.Tristão Vaz,,Atrop.de peões
Lisboa,2006:05:12 20:30:00,0,2,Av.Almirante Reis,,Atrop.de peões
Lisboa,2006:05:13 19:40:00,0,1,Av.Ponte/Av.Eng.Duarte Pacheco,,Desp.c/col.c/ veíc.imob.ou obst.
Lisboa,2006:05:15 20:10:00,0,1,Av.24 Julho,,Atrop.de peões
Lisboa,2006:05:18 15:41:00,0,1,Av.Mar.Gomes Costa,Atrop.de peões
Lisboa,2006:05:19 00:30:00,0,2,Av.Inf D.Henrique,Colisão frontal
Lisboa,2006:05:21 14:05:00,0,1,Av.Ceuta,Despiste com capotamento
