Concelho,Datahora,M,FG,Via,km,Natureza
Vila do Conde,2009:05:02 15:30:00,0,1,"EN1315,426",Colisão frontal
Vila do Conde,2009:06:12 17:30:00,0,1,"EN1047,000",Colisão frontal
Vila do Conde,2009:07:18 18:45:00,0,1,Rua 5 de Outubro,Colisão lat. c/outro veíc. mov.
Vila do Conde,2009:11:30 17:00:00,0,1,R COMBATENTES,Despiste simples
Vila do Conde,2009:07:28 20:20:00,0,1,R JOUDINA,Colisão lat. c/outro veíc. mov.
,,,,AV DR FERNAND
Vila do Conde,2009:03:14 07:50:00,0,1,,Atropelamento de peões
,,,,GOME
,,,,AV MOUZINH
Vila do Conde,2009:08:23 14:45:00,0,1,,Colisão lat. c/outro veíc. mov.
,,,,ALBUQUERQU
Vila do Conde,2009:12:23 12:40:00,0,1,"EN20614,500",Colisão frontal
,,,,R 5 OUTUBRO C/ AV D
Vila do Conde,2009:02:14 14:15:00,1,0,ANTONIO BENTO,Colisão lat. c/outro veíc. mov.
,,,,MARTINS JUNIO
,,,,Avenida Infante Do
Vila do Conde,2009:04:01 12:40:00,0,1,,Colisão tras. c/ outro veíc. mov.
,,,,Henriqu
Vila Nova de Gaia,2009:04:07 23:10:00,0,1,R S MAMEDE,Colisão lat. c/outro veíc. mov.
Vila Nova de Gaia,2009:02:14 16:15:00,0,1,Rua General Torres,Atropelamento de peões
Vila Nova de Gaia,2009:12:21 21:45:00,0,1,R BO JAPONES,Atropelamento de peões
Vila Nova de Gaia,2009:12:05 18:40:00,0,1,R LAVOURAS,Colisão frontal
Vila Nova de Gaia,2009:12:13 22:50:00,0,1,"A2947,050",Atropelamento de peões
Vila Nova de Gaia,2009:04:07 19:00:00,0,1,"EN2228,180",Colisão com fuga
Vila Nova de Gaia,2009:01:04 15:00:00,0,1,R S MAMEDE SERZEDO,Colisão lat. c/outro veíc. mov.
Vila Nova de Gaia,2009:03:15 15:20:00,0,1,Rua Conceiçao Fernandes,Atropelamento de peões
Vila Nova de Gaia,2009:07:30 13:30:00,0,1,Avenida Gomes Junior,Colisão frontal
Vila Nova de Gaia,2009:12:23 18:10:00,0,1,R LAMACAES,Colisão lat. c/outro veíc. mov.
Vila Nova de Gaia,2009:04:13 15:55:00,0,1,"EN1189,850",Atropelamento de peões
Vila Nova de Gaia,2009:04:14 07:50:00,0,1,R D DUARTE CORREIA,Despiste simples
Vila Nova de Gaia,2009:09:28 08:00:00,0,1,PC INDIA,Despiste simples
Vila Nova de Gaia,2009:10:30 09:50:00,0,1,R RIO COSTA,Colisão lat. c/outro veíc. mov.
Vila Nova de Gaia,2009:04:17 14:00:00,0,1,Rua Prof. Amadeu Santos,Atropelamento de peões
Vila Nova de Gaia,2009:05:04 18:00:00,0,1,Rua Norton de Matos,Colisão lat. c/outro veíc. mov.
Vila Nova de Gaia,2009:10:07 12:25:00,0,1,"EN22210,880",Colisão frontal
Vila Nova de Gaia,2009:03:03 19:20:00,0,1,Avenida da República,Colisão lat. c/outro veíc. mov.
Vila Nova de Gaia,2009:07:25 15:30:00,1,0,R GUARDA,Colisão lat. c/outro veíc. mov.
Vila Nova de Gaia,2009:08:04 14:00:00,0,1,"A2951,590",Despiste s/ disp. retenção
Vila Nova de Gaia,2009:03:21 08:45:00,0,1,"A442,800",Colisão lat. c/outro veíc. mov.
Vila Nova de Gaia,2009:05:25 18:40:00,1,0,R VINHA,Colisão com outras situações
Vila Nova de Gaia,2009:05:16 14:15:00,0,1,"EN10915,000",Colisão frontal
Vila Nova de Gaia,2009:04:09 08:00:00,0,1,Avenida Vasco da Gama,Atropelamento de peões
Vila Nova de Gaia,2009:02:14 20:45:00,0,1,R DO ERMO,Atropelamento de peões
Vila Nova de Gaia,2009:04:20 19:30:00,0,1,Av. Engo Ludgero Marques,Atropelamento de peões
Vila Nova de Gaia,2009:01:13 11:50:00,0,1,Av. LIBERDADE,Colisão frontal
Vila Nova de Gaia,2009:12:23 11:50:00,0,1,Avenida de República,Atropelamento de peões
,,,,R GEN. HUMBERT
