Concelho,Datahora,M,FG,Via,km,Natureza
Aveiro,2012:11:22 17:15:00,0,1,EN235,"9,850",Atropelamento de peões
Castelo de Paiva,2012:10:29 17:50:00,1,0,EM1123,,Atropelamento de peões
Estarreja,2012:05:05 15:20:00,1,0,EN109,"52,970",Despiste simples
Estarreja,2012:06:26 14:00:00,1,0,A29,"0,817",Colisão c/veic./obstáculo f.rodagem
Estarreja,2012:07:03 08:30:00,0,1,EN109,"49,500",Colisão lat. c/outro veíc. mov.
Estarreja,2012:07:12 09:30:00,0,1,R. Desemb. Oliveira Pinto,,Colisão lat. c/outro veíc. mov.
Estarreja,2012:10:20 16:20:00,0,2,EN109,"44,600",Despiste com capotamento
Estarreja,2012:12:10 09:10:00,0,1,EM558,,Despiste com capotamento
Estarreja,2012:12:16 10:45:00,0,1,Rua Alameda dos Plátanos,,Atropelamento de peões
Estarreja,2012:12:21 21:30:00,0,1,Rua do Mato,,Despiste c/ dispositivo de retenção
