Concelho,Datahora,M,FG,Via,km,Natureza
V. N. de Gaia,2012:01:07 07:15:00,1,0,EN1,,"289,950",Atropelamento de peões
V. N. de Gaia,2012:01:09 21:40:00,1,0,A1,,"297,260",Atropelamento com fuga
V. N. de Gaia,2012:01:17 18:35:00,1,0,EN1,,"292,100",Colisão frontal
V. N. de Gaia,2012:01:23 19:00:00,1,0,A1,,"294,300",Atropelamento de peões
V. N. de Gaia,2012:02:15 14:00:00,0,1,R. Miguel Bombarda,,,Atropelamento de peões
V. N. de Gaia,2012:03:05 19:00:00,0,1,Av. Sacadura Cabral,,,Atropelamento com fuga
V. N. de Gaia,2012:03:17 08:10:00,0,1,A44,,"6,800",Despiste simples
V. N. de Gaia,2012:03:26 12:50:00,0,1,R. do Corvo,,,Colisão frontal
V. N. de Gaia,2012:04:06 16:15:00,0,1,A29,,"43,200",Colisão lat. c/ outro veíc. mov.
V. N. de Gaia,2012:05:09 15:00:00,1,0,EN1,,"292,700",Atropelamento de peões
V. N. de Gaia,2012:05:28 18:10:00,0,1,EN222,,"8,450",Colisão tras. c/ outro veíc. mov.
V. N. de Gaia,2012:05:29 21:30:00,0,2,R. Cast. Ribatejo,,,Colisão frontal
V. N. de Gaia,2012:06:04 13:30:00,1,0,A41,,"49,300",Despiste c/ capotamento
V. N. de Gaia,2012:06:04 14:45:00,0,1,EN109,,"15,500",Colisão frontal
V. N. de Gaia,2012:06:06 03:45:00,3,1,R. São Felix,,,Despiste c/col. c/veíc. imobil./obst
V. N. de Gaia,2012:06:09 17:45:00,0,1,A29,,"45,900",Despiste c/ dispositivo de retenção
V. N. de Gaia,2012:06:10 17:00:00,0,1,R. do Rochio,,Despiste simples
V. N. de Gaia,2012:06:12 15:55:00,0,1,EN109,"14,500",Despiste simples
V. N. de Gaia,2012:06:14 09:20:00,0,1,R. São João,,Atropelamento de peões
V. N. de Gaia,2012:06:14 14:30:00,1,0,R. dos Pinhais Bastos,,Despiste simples
V. N. de Gaia,2012:07:08 00:40:00,0,3,Rua do Corvo,,Colisão lat. c/ outro veíc. mov.
V. N. de Gaia,2012:07:11 15:08:00,0,1,EN1,"295,200",Atropelamento de peões
V. N. de Gaia,2012:07:11 18:20:00,0,1,Rua Escola Central,,Despiste simples
V. N. de Gaia,2012:07:13 02:07:00,1,0,EN1,"292,400",Colisão frontal
V. N. de Gaia,2012:07:16 01:10:00,0,2,Rua Bolhão,,C  o  l i s  ã  of r o  n  t a  l
V. N. de Gaia,2012:07:23 18:00:00,1,1,EN222,"8,500",Colisão frontal
V. N. de Gaia,2012:07:27 01:20:00,0,1,A44,"1,875",Despiste simples
V. N. de Gaia,2012:07:28 21:30:00,0,1,Rua da Boavista,,Colisão lat. c/ outro veíc. mov.
V. N. de Gaia,2012:07:31 14:00:00,0,1,A1,"301,500",Despiste c/ dispositivo de retenção
V. N. de Gaia,2012:08:06 19:00:00,0,1,Ava Santo António,,Atropelamento de peões
V. N. de Gaia,2012:09:16 21:55:00,1,0,A1,"302,200",Atropelamento de peões
V. N. de Gaia,2012:09:24 20:05:00,0,1,Rua 25 de Abril,,Atropelamento de peões
V. N. de Gaia,2012:10:07 18:45:00,0,1,Rua Bélgica,,Co  l is  ã  ol a  t .c  /  o  u  t r ov  e  í c  .  mov.
V. N. de Gaia,2012:10:22 09:55:00,0,3,A29,"45,725",Despiste c/ dispositivo de retenção
V. N. de Gaia,2012:11:21 18:00:00,0,1,R. Boavista da Estrada,,Atropelamento de peões
V. N. de Gaia,2012:12:06 01:10:00,0,1,A1,"294,900",Despiste c/ dispositivo de retenção
V. N. de Gaia,2012:12:10 22:25:00,1,0,Av. Arcos do Sardão,,Atropelamento de peões
V. N. de Gaia,2012:12:14 07:35:00,0,1,Rua Nova do Fojo,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
V. N. de Gaia,2012:12:22 02:00:00,0,1,A29,"52,892",Despiste c/ dispositivo de retenção
Amarante,2012:02:05 15:30:00,0,1,R. de Palmazoes,,Colisão frontal
Amarante,2012:03:10 19:30:00,1,0,R do Carvalhal,,Colisão com outras situações
Amarante,2012:03:27 11:55:00,0,2,EN101,"145,500",Despiste s/ dispositivo de retenção
Amarante,2012:06:08 19:10:00,0,1,R. Água Nova,,Atropelamento de peões
Amarante,2012:07:13 17:50:00,1,0,IP4,"64,053",Colisão frontal
Amarante,2012:07:18 23:15:00,0,1,R. Cast. Redondo,,Despiste simples
Amarante,2012:09:19 18:00:00,1,0,EN101,"139,000",Despiste simples
Amarante,2012:10:24 19:50:00,0,1,Rua de Aboim,,Colisão com outras situações
Baião,2012:03:25 16:50:00,1,0,R. Central de Frende,,Despiste s/ dispositivo de retenção
Baião,2012:06:23 21:15:00,1,0,R. da Igreja,,Atropelamento de peões
Baião,2012:06:24 02:00:00,1,1,R. Soeiro Pereira Gomes,,Atropelamento de peões
Felgueiras,2012:02:19 22:15:00,0,1,R. D. Manuel I,,Atropelamento de peões
Felgueiras,2012:02:27 13:00:00,0,1,R. do Retiro,,Despiste s/ dispositivo de retenção
Felgueiras,2012:03:02 15:40:00,1,0,R. Dr. Anto F. Gomes,,Atropelamento de peões
Felgueiras,2012:03:03 19:40:00,0,1,Av da Mata,,Atropelamento de peões
Felgueiras,2012:03:27 14:45:00,1,0,EN101-4,"1,220",Despiste simples
Felgueiras,2012:04:12 11:15:00,1,0,R. de Montebelo,,Atropelamento de peões
Felgueiras,2012:04:19 20:30:00,0,1,R. de Pinhal Basto,,Atropelamento com fuga
Felgueiras,2012:04:21 19:00:00,0,2,R. São Vicente,,Colisão frontal
Felgueiras,2012:07:17 21:50:00,0,1,EN207,"40,400",Despiste c/col. c/veíc. imobil./obst
Felgueiras,2012:08:11 15:45:00,0,1,EN101,"135,650",Despiste com fuga
Felgueiras,2012:09:03 04:45:00,0,1,R. Dr. A. Ferreira,,Atropelamento de peões
Felgueiras,2012:09:18 17:50:00,0,1,Rua de Revinhade,,Despiste c/col. c/veíc. imobil./obst
Felgueiras,2012:10:13 19:40:00,0,1,Rua Santo André,,Atropelamento de peões
Felgueiras,2012:10:14 19:30:00,0,1,Rua Alto do Vaz,,Atropelamento de peões
Felgueiras,2012:11:19 13:45:00,0,1,Rua de São Pedro,,Colisão tras. c/ outro veíc. mov.
Felgueiras,2012:12:03 01:30:00,0,1,R. C. Fonte Cova,,Despiste simples
Felgueiras,2012:12:13 17:55:00,1,0,Lugar da Trofa,,Atropelamento de peões
Gondomar,2012:01:04 20:15:00,0,1,R. Rio Ferreira,,Atropelamento de peões
Gondomar,2012:01:10 18:30:00,0,1,Est. D. Miguel,,Atropelamento de peões
Gondomar,2012:06:13 15:20:00,0,2,Av. da Conduta,,Colisão frontal
Gondomar,2012:06:22 21:20:00,1,0,Av. Dr. Mário Soares,,Atropelamento de peões
Gondomar,2012:06:25 23:50:00,0,1,R. De Tardariz,,Colisão lat. c/ outro veíc. mov.
Gondomar,2012:07:18 17:25:00,0,1,Rua Boavista,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Gondomar,2012:07:24 18:30:00,0,1,R. D. João França,,Co  l i s ã  of r  o  n  t a  l
Gondomar,2012:07:29 19:00:00,0,1,Rua Rio Ferreira,,Despiste simples
Gondomar,2012:08:10 13:00:00,1,0,R. D. Anto C. Meireles,,Despiste c/col. c/veíc. imobil./obst
Gondomar,2012:08:20 16:00:00,1,0,EN108,"10,950",Colisão frontal
Gondomar,2012:09:15 22:00:00,0,1,EN222,"26,000",Despiste c/ capotamento
Gondomar,2012:09:20 17:00:00,0,1,Av. Prof. Dr. A.C.Silva,,Atropelamento de peões
Gondomar,2012:10:20 09:40:00,0,1,R. D. Anto C. Meireles,,Atropelamento de peões
Gondomar,2012:10:22 09:15:00,0,2,Estrada D Miguel,,Atropelamento de peões
Gondomar,2012:11:25 20:50:00,0,1,Estrada D. Miguel,,Atropelamento de peões
Gondomar,2012:12:18 17:15:00,1,0,Av. Gen. H. Delgado,,Atropelamento de peões
Lousada,2012:03:03 11:00:00,1,0,Est. São Salvador,,Despiste s/ dispositivo de retenção
Lousada,2012:04:10 08:00:00,0,1,Av. Comb. Gd. Guerra,,Colisão lat. c/ outro veíc. mov.
Lousada,2012:05:11 20:00:00,0,1,Lugar Ponte Veiga,,Despiste s/ dispositivo de retenção
Lousada,2012:05:13 19:10:00,0,1,Est. Vila Meã,,Atropelamento de peões
Lousada,2012:07:17 20:50:00,0,1,Rua do Pombal,,Atropelamento de peões
Lousada,2012:08:15 18:40:00,0,1,Rua da Ermida,,Colisão lat. c/ outro veíc. mov.
Lousada,2012:09:11 16:45:00,0,1,Ava da Liberdade,,Colisão frontal
Lousada,2012:09:26 19:00:00,0,1,Ava Amilcar Neto,,Colisão c/veic./obstáculo f.rodagem
