Concelho,Datahora,M,FG,Via,Km,Natureza
Povoa de Varzim,12-09-2011 21:45,0,1,Rua Paulo Barreto 23-,Atropelamento de peões
Povoa de Varzim,12-05-2011 21:35,0,1,Rua São Miguel O ...-,Colisão com outras situações
Povoa de Varzim,30-12-2011 20:15,0,1,Via General Humbe...-,Atropelamento de peões
Santo Tirso,18-08-2011 17:15,0,1,--,Despiste com colisão com veículo imobil. ...
Santo Tirso,02-01-2011 10:30,0,1,AVa JOAO PAULO I...-,Colisão frontal
Santo Tirso,24-11-2011 08:35,0,1,Avenida Sousa Cru...-,Atropelamento de peões
Santo Tirso,14-09-2011 08:45,0,1,"EN10513,400",Atropelamento de peões
Santo Tirso,04-09-2011 05:05,0,1,"EN10514,550",Despiste com capotamento
Santo Tirso,27-12-2011 00:45,0,1,"EN10525,000",Colisão frontal
Santo Tirso,22-05-2011 04:01,0,1,"EN10526,700",Colisão frontal
Santo Tirso,21-08-2011 19:10,0,1,"EN10526,800",Colisão lateral com outro veículo em mov...
Santo Tirso,25-09-2011 11:30,0,1,R DOS MOINHOS 3-,Despiste simples
Santo Tirso,09-06-2011 15:50,0,1,Rua Argemil 01-,Colisão frontal
Santo Tirso,04-06-2011 19:50,0,4,Rua Padre Luís Go...-,Colisão frontal
Santo Tirso,29-10-2011 20:00,0,1,"VAR-EN10422,500",Colisão frontal
Trofa,23-10-2011 16:10,0,1,"A310,785",Despiste com capotamento
Trofa,04-08-2011 09:00,1,0,AV DO BICHO 119-,Colisão com outras situações
Trofa,30-06-2011 18:00,0,1,"EN1413,050",Colisão frontal
Trofa,29-04-2011 06:00,0,1,"EN1413,700",Colisão frontal
Trofa,06-11-2011 08:15,0,1,R D PEDRO V 93-,Despiste com capotamento
Trofa,21-08-2011 01:30,0,1,R DO HORIZONTE ...-,Atropelamento de peões
Trofa,30-01-2011 14:30,1,0,R DO OUTEIRAL 790-,Despiste simples
Valongo,21-04-2011 06:54,1,0,"A411,254",Despiste com colisão com veículo imobil. ...
Valongo,02-01-2011 18:02,0,1,"A412,130",Colisão choque em cadeia
Valongo,19-08-2011 17:35,0,1,"A414,000",Despiste simples
Valongo,29-07-2011 23:30,0,1,Avenida Engenheir...-,Colisão traseira com outro veículo em m...
Valongo,30-04-2011 09:40,0,1,R CENTRAL DAS VI...-,Colisão lateral com outro veículo em mov...
Valongo,20-06-2011 23:45,0,1,R VILAR 861-,Colisão frontal
Valongo,13-12-2011 18:35,1,0,Rua Doutor Mário ...-,Colisão frontal
Valongo,24-12-2011 18:15,0,1,Rua Vasco da Gam...-,Atropelamento de peões
Vila do Conde,22-01-2011 13:05,0,1,Avenida Brasil .-,Colisão lateral com outro veículo em mov...
Vila do Conde,24-03-2011 15:30,0,1,Avenida da Liberda...-,Colisão lateral com outro veículo em mov...
Vila do Conde,19-02-2011 09:15,1,0,Avenida José Régio...-,Atropelamento de peões
Vila do Conde,30-09-2011 16:00,1,0,"EN1045,200",Colisão lateral com outro veículo em mov...
Vila do Conde,13-03-2011 18:00,0,2,"EN1047,000",Despiste simples
Vila do Conde,17-12-2011 01:00,0,1,"EN1315,400",Despiste com colisão com veículo imobil. ...
Vila do Conde,23-07-2011 01:35,0,2,"EN2064,502",Colisão frontal
Vila do Conde,25-10-2011 15:50,1,1,"EN2065,750",Colisão com outras situações
Vila do Conde,22-06-2011 00:20,1,0,"EN2066,800",Despiste simples
Vila do Conde,23-04-2011 00:15,1,0,"EN3182,600",Colisão frontal
Vila do Conde,20-03-2011 11:55,0,1,"EN3183,800",Colisão frontal
Vila do Conde,09-10-2011 14:37,1,0,R DA PONTE DE A...-,Despiste sem dispositivo de retenção
Vila do Conde,23-04-2011 07:05,0,1,R DO LOUREIRO 701-,Despiste simples
Vila do Conde,28-04-2011 18:15,0,1,R S CRISTOVAO 1...-,Colisão traseira com outro veículo em m...
