Concelho Datahora M* FG* Via,Km,Natureza
Amarante 2006:02:18 01:40:00 1 0 EN210,"30,000",Desp.c/transp.do disp.de ret.lat.
Amarante 2006:02:19 14:50:00 0 1 Estrada Municipal,,Col.tras.c/outro veíc.em mov.
Amarante 2006:03:18 19:45:00 0 1 Av. Gen.Vitorino Laranjeira,,Atrop.de peões
Amarante 2006:04:11 17:00:00 1 0 Estrada Municipal,,Despiste simples
Amarante 2006:04:14 12:00:00 0 1 EN211-1,"0,005",Col.lat.c/outro veíc.em mov.
Amarante 2006:07:18 17:00:00 1 3 S. Gonçalo,,Desp.c/capotamento
Amarante 2006:07:19 19:00:00 1 1 EN101,"142,430",Colisão frontal
Amarante 2006:08:05 17:15:00 0 1 R. Igreja,,Col.tras.c/outro veíc.em mov.
Amarante 2006:08:12 15:00:00 1 0 Estrada Municipal,,Desp.s/disposi.de ret.
Amarante 2006:08:27 21:30:00 0 2 Var-Tamega,,Atrop.de peões
Amarante 2006:09:01 23:30:00 0 1 Av. Agua Nova,,Atrop.de peões
Amarante 2006:09:08 14:00:00 0 1 Estrada Municipal,,Col.c/veic.ou obst.na fxa. de rod.
Porto,2006:07:15 02:22:00,0,1,Av. Boavista,Atrop.de peões
Concelho,Datahora,M,FG,Via,km,Natureza
Porto,2006:07:19 22:00:00,0,1,R. Vale Formoso/R. S. Dinis,,Colisão frontal
Porto,2006:07:30 10:35:00,0,1,R. Nova Alfandega,,Desp.c/col.c/veíc.imobil.ou obst.
Porto,2006:08:05 11:15:00,0,2,Estr. Int. Circunvalação,,Col.tras.c/outro veíc.em mov.
Porto,2006:08:08 04:42:00,1,0,Av. Gustavo Eiffel/R. D. Luis I,,Desp.c/col.c/veíc.imobil.ou obst.
Porto,2006:08:24 22:35:00,0,1,Pça. Corujeira,,Desp.c/col.c/veíc.imobil.ou obst.
Porto,2006:09:01 16:05:00,0,1,Av. Fontes P. Melo,,Col.lat.c/outro veíc.em mov.
Porto,2006:09:01 17:24:00,0,1,Outra Via,,Col.tras.c/outro veíc.em mov.
Porto,2006:09:03 01:55:00,0,1,Alameda Cortes,,Desp.c/col.c/veíc.imobil.ou obst.
Porto,2006:09:05 14:20:00,0,1,Estr. Ext. Circunvalação,,Col.lat.c/outro veíc.em mov.
Porto,2006:09:09 03:55:00,0,1,R. Faria Guimarães,,Col.lat.c/outro veíc.em mov.
Porto,2006:09:13 15:35:00,0,1,Av. Boavista/R. Guerra Junqueiro,,Atrop.de peões
Porto,2006:09:21 09:54:00,0,1,Pça. Republica,,Atrop.de peões
Porto,2006:09:21 19:40:00,0,1,R. Arq. Cassiano Barbosa,,Atrop.de peões
Porto,2006:09:24 06:10:00,0,1,EN12,,Desp.c/col.c/veíc.imobil.ou obst.
Porto,2006:10:10 13:20:00,0,1,Viaduto da Areosa,,Colisão frontal
Porto,2006:10:16 20:25:00,0,1,R. Paz,,Atrop.de peões
Porto,2006:10:20 15:30:00,0,1,R. S. Roque/R. Ferreira Santos,,Col.lat.c/outro veíc.em mov.
Porto,2006:10:20 17:55:00,0,1,R. Costa Cabral,,Atrop.de peões
Porto,2006:10:31 15:13:00,0,1,R. Trindade,,Atrop.de peões
Porto,2006:11:18 05:20:00,0,2,Av. Boavista,,Col.lat.c/outro veíc.em mov.
