Penafiel,2007:04:16 05:15:00,0,2,A4,,"43,250",Col. tras. c/ outro veíc. mov.
Penafiel,2007:01:10 16:15:00,0,1,R SOUTO,,,Atropelamento peões
Penafiel,2007:01:13 17:25:00,0,1,SR AFLITOS,,,Col. lat. c/ outro veíc. mov.
Penafiel,2007:02:02 16:00:00,0,1,Estrada Municipal,,,Atropelamento peões
Penafiel,2007:03:02 23:20:00,0,1,R 5 OUTUBRO,,,Despiste simples
Penafiel,2007:04:12 23:55:00,0,1,VILELA CIMA,,,Despiste simples
Penafiel,2007:07:06 13:30:00,0,1,R ESTAÇÃO,,,Colisão frontal
Penafiel,2007:07:24 11:40:00,1,0,R DR JOAQUIM COTA,,Atropelamento peões
Penafiel,2007:08:27 18:50:00,0,1,VAR-CAVAL,,Colisão frontal
Penafiel,2007:09:10 18:45:00,1,0,R TRINTA E TRES,,Despiste simples
Porto,2007:12:16 07:25:00,0,1,EN12,"1,000",Despiste simples
Porto,2007:04:05 08:19:00,1,0,A28,"1,200",Desp. c/ transp. disp. ret. lateral
"",,,,,,,
Concelho,Datahora,M*,FG*,,Via,km,Natureza
Porto,2007:05:23 14:17:00,0,1,A20,,"12,100",Atropelamento peões
Porto,2007:01:18 22:45:00,0,1,R ALEGRIA/R D JOÃO IV,,,Colisão com fuga
Porto,2007:01:26 10:40:00,0,1,R S DINIS/R LUIS,,,Atropelamento peões
Porto,2007:02:05 16:20:00,0,1,ESTR INT CIRCUNVALAÇÃO,,,Atropelamento peões
Porto,2007:02:11 08:32:00,0,2,ESTR EXT CIRCUNVALAÇÃO,,,Colisão frontal
Porto,2007:04:04 00:55:00,0,1,R NATARIA,,,Atropelamento c/ fuga
Porto,2007:04:09 07:40:00,0,1,AV SIDONIO PAIS/ROT SIDONIO PAIS,,,Atropelamento peões
Porto,2007:04:11 08:55:00,1,1,R DR ALFREDO MAGALHÃES,,,Despiste c/ col c/ veíc. imob/obst.
Porto,2007:04:22 18:15:00,0,1,R FIRMEZA/R D JOÃO IV,,,Col. lat. c/ outro veíc. mov.
Porto,2007:04:26 20:20:00,0,1,EN12,,,Despiste simples
Porto,2007:05:09 00:30:00,0,1,AV BOAVISTA/R OFELIA DIOGO COSTA,,,Despiste s/ disp. retenção
Porto,2007:05:30 19:55:00,1,0,ESTR INT CIRCUNVALAÇÃO,,,Despiste simples
Porto,2007:06:08 07:45:00,1,0,R PLACIDO COSTA,,,Atropelamento peões
Porto,2007:06:25 17:20:00,0,1,TV S BRAS,,,Atropelamento peões
Porto,2007:07:13 14:25:00,0,1,R FARIA GUIMARÃES,,,Atropelamento peões
Porto,2007:08:01 13:10:00,0,1,AV BOAVISTA,,,Atropelamento peões
Porto,2007:08:09 16:00:00,0,1,CAMPO MARTIRES DA PATRIA,,,Atropelamento peões
Porto,2007:08:27 19:55:00,1,0,AV FRANÇA,,,Atropelamento peões
Porto,2007:09:10 02:50:00,0,1,R LIDADOR,,,Atropelamento peões
Porto,2007:09:13 15:20:00,1,0,R S DINIS/AV AVIADORES,,,Atropelamento c/ fuga
Porto,2007:10:02 14:05:00,0,1,EN12,,,Colisão frontal
Porto,2007:10:04 18:25:00,1,0,R PESO REGUA,,,Atropelamento peões
Porto,2007:10:27 09:45:00,1,0,R LATINO COELHO,,,Atropelamento peões
Porto,2007:11:13 08:47:00,1,0,AV FERNÃO MAGALHÃES/R,,,Colisão frontal
"",,,,MERCES,,,
Porto,2007:11:16 18:00:00,1,0,R MOUTEVIDEM,,,Atropelamento peões
Porto,2007:11:19 16:05:00,0,1,AV BOAVISTA/ R AZEVEDO COUTINHO,,,Col. lat. c/ outro veíc. mov.
