Concelho,Datahora,M*,FG*,,Via,km,Natureza
Vila Verde,2009:09:29 06:15:00,1,0,EM531,,"6,182",Despiste simples
Vila Verde,2009:07:31 15:15:00,1,0,R BARRA,,,Despiste com capotamento
Vila Verde,2009:01:31 00:30:00,0,1,AV SOBRAL ILHO,,,Despiste c/ disp. retenção
Vila Verde,2009:08:15 13:17:00,0,1,R LUIS CAMOES CEUTO,,,Despiste c/col. c/veíc. imobil./obst.
Vila Verde,2009:09:26 15:45:00,1,2,EN201,,"54,200",Despiste c/col. c/veíc. imobil./obst.
Vila Verde,2009:06:03 13:45:00,1,0,EM541,,"4,300",Atropelamento de peões
Vila Verde,2009:10:24 16:00:00,1,0,EN101,,"79,500",Colisão frontal
"",,,,R COMENDADOR JOAO,,,
Vizela,2009:02:15 15:50:00,0,1,,,,Atropelamento de peões
"",,,,PEREIRA MAGALHAES,,,
Vizela,2009:01:27 19:15:00,0,1,R ELISA TORRES SOARES,,,Atropelamento de peões
Vizela,2009:01:30 19:00:00,1,2,EN106,,"5,950",Despiste com capotamento
Vizela,2009:05:30 00:45:00,0,1,EN106,,"1,450",Colisão lat. c/outro veíc. mov.
Vizela,2009:04:15 07:40:00,0,1,EN101-3,,"9,630",Colisão lat. c/outro veíc. mov.
Vizela,2009:03:21 03:30:00,0,1,R SAUDADE,,,Despiste simples
