Concelho,Datahora,M*,FG*,,Via,km,Natureza
Barreiro,2012:03:17 12:50:00,0,1,EN10,,"16,080",Colisão tras. c/ outro veíc. mov.
Barreiro,2012:03:17 17:00:00,0,2,EM510,,,Despiste c/ capotamento
Barreiro,2012:04:22 03:30:00,1,0,Avenida Liberdade,,,Despiste simples
Barreiro,2012:05:06 10:57:00,1,0,EN10-3,,"3,500",Atropelamento de peões
"",,,,Av. MFA (junto,,,
Barreiro,2012:05:15 16:00:00,0,1,,,,Atropelamento de peões
"",,,,Eesc.Casquilhos,,,
Barreiro,2012:05:17 17:15:00,0,1,EN10-3,,"0,800",Despiste c/ dispositivo de retenção
Barreiro,2012:05:27 09:50:00,0,1,EN10-3,,"3,000",Colisão lat. c/ outro veículo mov.
Barreiro,2012:06:01 18:40:00,0,1,IC32,,"3,900",Despiste simples
Barreiro,2012:06:27 22:39:00,1,0,Rua Amizade,,,Atropelamento de peões
Barreiro,2012:07:22 14:05:00,0,2,Alameda Ary dos Santos,,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e s
Barreiro,2012:10:18 23:00:00,0,1,EN11-2,,"3,000",Atropelamento de peões
